Opcode,Mnemonic,2BOP,1U,OSO,OSO.AFF,MRM,IMM,OP,LD.EIP,EIP.MUX,DS,imx,LD.EFLAGS,LD.CS,CS.MUX,LD.SREG,SREG.MUX,OPDec,,,,,,,
0F E3 /r,"PAVGW mm1, mm2/m64",1,1,0,0,1,0,E3,0,XXX,11,XX,0,0,XX,0,X,227,,,,,,,
8F /0,POP r/m16,0,1,1,1,1,0,8F,0,XXX,01,XX,0,0,XX,0,X,143,,,,,,,
8F /0,POP r/m32,0,1,0,1,1,0,8F,0,XXX,10,XX,0,0,XX,0,X,143,,,,,,,
58+ rw,POP r16,0,1,1,1,0,0,58,0,XXX,01,XX,0,0,XX,0,X,88,,,,,,,
58 rw,POP r16,0,1,1,1,0,0,58,0,XXX,01,XX,0,0,XX,0,X,88,,,,,,,
59 rw,POP r16,0,1,1,1,0,0,59,0,XXX,01,XX,0,0,XX,0,X,89,,,,,,,
60 rw,POP r16,0,1,1,1,0,0,60,0,XXX,01,XX,0,0,XX,0,X,96,,,,,,,
61 rw,POP r16,0,1,1,1,0,0,61,0,XXX,01,XX,0,0,XX,0,X,97,,,,,,,
62 rw,POP r16,0,1,1,1,0,0,62,0,XXX,01,XX,0,0,XX,0,X,98,,,,,,,
63 rw,POP r16,0,1,1,1,0,0,63,0,XXX,01,XX,0,0,XX,0,X,99,,,,,,,
64 rw,POP r16,0,1,1,1,0,0,64,0,XXX,01,XX,0,0,XX,0,X,100,,,,,,,
65 rw,POP r16,0,1,1,1,0,0,65,0,XXX,01,XX,0,0,XX,0,X,101,,,,,,,
58+ rd,POP r32,0,1,0,1,0,0,58,0,XXX,10,XX,0,0,XX,0,X,88,,,,,,,
58 rd,POP EAX,0,1,0,1,0,0,58,0,XXX,10,XX,0,0,XX,0,X,88,,,,,,,
59 rd,POP ECX,0,1,0,1,0,0,59,0,XXX,10,XX,0,0,XX,0,X,89,,,,,,,
5A rd,POP EDX,0,1,0,1,0,0,5A,0,XXX,10,XX,0,0,XX,0,X,90,,,,,,,
5B rd,POP EBX,0,1,0,1,0,0,5B,0,XXX,10,XX,0,0,XX,0,X,91,,,,,,,
5C rd,POP ESP,0,1,0,1,0,0,5C,0,XXX,10,XX,0,0,XX,0,X,92,,,,,,,
5D rd,POP EBP,0,1,0,1,0,0,5D,0,XXX,10,XX,0,0,XX,0,X,93,,,,,,,
5E rd,POP ESI,0,1,0,1,0,0,5E,0,XXX,10,XX,0,0,XX,0,X,94,,,,,,,
5F rd,POP EDI,0,1,0,1,0,0,5F,0,XXX,10,XX,0,0,XX,0,X,95,,,,,,,
1F,POP DS (16-bit pop),0,1,1,1,0,0,1F,0,XXX,01,XX,0,0,XX,1,1,31,,,,,,,
1F,POP DS,0,1,0,1,0,0,1F,0,XXX,10,XX,0,0,XX,1,1,31,,,,,,,
07,POP ES (16-bit pop),0,1,1,1,0,0,07,0,XXX,01,XX,0,0,XX,1,1,7,,,,,,,
07,POP ES,0,1,0,1,0,0,07,0,XXX,10,XX,0,0,XX,1,1,7,,,,,,,
17,POP SS (16-bit pop),0,1,1,1,0,0,17,0,XXX,01,XX,0,0,XX,1,1,23,,,,,,,
17,POP SS,0,1,0,1,0,0,17,0,XXX,10,XX,0,0,XX,1,1,23,,,,,,,
0F A1,POP FS (16-bit pop),1,1,1,1,0,0,A1,0,XXX,01,XX,0,0,XX,1,1,161,,,,,,,
0F A1,POP FS,1,1,0,1,0,0,A1,0,XXX,10,XX,0,0,XX,1,1,161,,,,,,,
0F A9,POP GS (16-bit pop),1,1,1,1,0,0,A9,0,XXX,01,XX,0,0,XX,1,1,169,,,,,,,
0F A9,POP GS,1,1,0,1,0,0,A9,0,XXX,10,XX,0,0,XX,1,1,169,,,,,,,
FF /6,PUSH r/m16,0,1,1,1,1,0,FF,0,XXX,01,XX,0,0,XX,0,X,255,,,,,,,
FF /6,PUSH r/m32,0,1,0,1,1,0,FF,0,XXX,10,XX,0,0,XX,0,X,255,,,,,,,
50+rw,PUSH r16,0,1,1,1,0,0,50,0,XXX,01,XX,0,0,XX,0,X,80,,,,,,,
50 rw,PUSH r16,0,1,1,1,0,0,50,0,XXX,01,XX,0,0,XX,0,X,80,,,,,,,
51 rw,PUSH r16,0,1,1,1,0,0,51,0,XXX,01,XX,0,0,XX,0,X,81,,,,,,,
52 rw,PUSH r16,0,1,1,1,0,0,52,0,XXX,01,XX,0,0,XX,0,X,82,,,,,,,
53 rw,PUSH r16,0,1,1,1,0,0,53,0,XXX,01,XX,0,0,XX,0,X,83,,,,,,,
54 rw,PUSH r16,0,1,1,1,0,0,54,0,XXX,01,XX,0,0,XX,0,X,84,,,,,,,
