Opcode,Mnemonic,2BOP,1U,OSO,OSO.AFF,MRM,IMM,OP,LD.EIP,EIP.MUX,DS,imx,LD.EFLAGS,LD.CS,CS.MUX,LD.SREG,SREG.MUX,OPDec,,,,,,,
BA rw,"MOV r16,imm16",0,1,1,1,0,2,BA,0,XXX,01,01,0,0,XX,0,X,186,,,,,,,
BB rw,"MOV r16,imm16",0,1,1,1,0,2,BB,0,XXX,01,01,0,0,XX,0,X,187,,,,,,,
BC rw,"MOV r16,imm16",0,1,1,1,0,2,BC,0,XXX,01,01,0,0,XX,0,X,188,,,,,,,
BD rw,"MOV r16,imm16",0,1,1,1,0,2,BD,0,XXX,01,01,0,0,XX,0,X,189,,,,,,,
BE rw,"MOV r16,imm16",0,1,1,1,0,2,BE,0,XXX,01,01,0,0,XX,0,X,190,,,,,,,
BF rw,"MOV r16,imm16",0,1,1,1,0,2,BF,0,XXX,01,01,0,0,XX,0,X,191,,,,,,,
B8 rd,"MOV r32,imm32",0,1,0,1,0,4,B8,0,XXX,10,11,0,0,XX,0,X,184,,,,,,,
B9 rd,"MOV r32,imm32",0,1,0,1,0,4,B9,0,XXX,10,11,0,0,XX,0,X,185,,,,,,,
BA rd,"MOV r32,imm32",0,1,0,1,0,4,BA,0,XXX,10,11,0,0,XX,0,X,186,,,,,,,
BB rd,"MOV r32,imm32",0,1,0,1,0,4,BB,0,XXX,10,11,0,0,XX,0,X,187,,,,,,,
BC rd,"MOV r32,imm32",0,1,0,1,0,4,BC,0,XXX,10,11,0,0,XX,0,X,188,,,,,,,
BD rd,"MOV r32,imm32",0,1,0,1,0,4,BD,0,XXX,10,11,0,0,XX,0,X,189,,,,,,,
BE rd,"MOV r32,imm32",0,1,0,1,0,4,BE,0,XXX,10,11,0,0,XX,0,X,190,,,,,,,
BF rd,"MOV r32,imm32",0,1,0,1,0,4,BF,0,XXX,10,11,0,0,XX,0,X,191,,,,,,,
C6 /0,"MOV r/m8,imm8",0,1,0,0,1,1,C6,0,XXX,00,00,0,0,XX,0,X,198,,,,,,,
C7 /0,"MOV r/m16,imm16",0,1,1,1,1,2,C7,0,XXX,01,01,0,0,XX,0,X,199,,,,,,,
C7 /0,"MOV r/m32,imm32",0,1,0,1,1,4,C7,0,XXX,10,11,0,0,XX,0,X,199,,,,,,,
0F 6F /r,"MOVQ mm, mm/m64",1,1,0,0,1,0,6F,0,XXX,11,XX,0,0,XX,0,X,111,,,,,,,
0F 7F /r,"MOVQ mm/m64, mm",1,1,0,0,1,0,7F,0,XXX,11,XX,0,0,XX,0,X,127,,,,,,,
A4,"MOVS m8,m8",0,1,0,0,0,0,A4,0,XXX,00,XX,0,0,XX,0,X,164,,,,,,,
A5,"MOVS m16,m16",0,1,1,1,0,0,A5,0,XXX,01,XX,0,0,XX,0,X,165,,,,,,,
A5,"MOVS m32,m32",0,1,0,1,0,0,A5,0,XXX,10,XX,0,0,XX,0,X,165,,,,,,,
F6 /2,NOT r/m8,0,1,0,0,1,0,F6,0,XXX,00,XX,0,0,XX,0,X,246,,,,,,,
F7 /2,NOT r/m16,0,1,1,1,1,0,F7,0,XXX,01,XX,0,0,XX,0,X,247,,,,,,,
F7 /2,NOT r/m32,0,1,0,1,1,0,F7,0,XXX,10,XX,0,0,XX,0,X,247,,,,,,,
0C ib,"OR AL,imm8",0,1,0,0,0,1,0C,0,XXX,00,00,1,0,XX,0,X,12,,,,,,,
0D iw,"OR AX,imm16",0,1,1,1,0,2,0D,0,XXX,01,01,1,0,XX,0,X,13,,,,,,,
0D id,"OR EAX,imm32",0,1,0,1,0,4,0D,0,XXX,10,11,1,0,XX,0,X,13,,,,,,,
80 /1 ib,"OR r/m8,imm8",0,1,0,0,1,1,80,0,XXX,00,00,1,0,XX,0,X,128,,,,,,,
81 /1 iw,"OR r/m16,imm16",0,1,1,1,1,2,81,0,XXX,01,01,1,0,XX,0,X,129,,,,,,,
81 /1 id,"OR r/m32,imm32",0,1,0,1,1,4,81,0,XXX,10,11,1,0,XX,0,X,129,,,,,,,
83 /1 ib,"OR r/m16,imm8",0,1,1,1,1,1,83,0,XXX,01,00,1,0,XX,0,X,131,,,,,,,
83 /1 ib,"OR r/m32,imm8",0,1,0,1,1,1,83,0,XXX,10,00,1,0,XX,0,X,131,,,,,,,
08 /r,"OR r/m8,r8",0,1,0,0,1,0,08,0,XXX,00,XX,1,0,XX,0,X,8,,,,,,,
09 /r,"OR r/m16,r16",0,1,1,1,1,0,09,0,XXX,01,XX,1,0,XX,0,X,9,,,,,,,
09 /r,"OR r/m32,r32",0,1,0,1,1,0,09,0,XXX,10,XX,1,0,XX,0,X,9,,,,,,,
0A /r,"OR r8,r/m8",0,1,0,0,1,0,0A,0,XXX,00,XX,1,0,XX,0,X,10,,,,,,,
0B /r,"OR r16,r/m16",0,1,1,1,1,0,0B,0,XXX,01,XX,1,0,XX,0,X,11,,,,,,,
0B /r,"OR r32,r/m32",0,1,0,1,1,0,0B,0,XXX,10,XX,1,0,XX,0,X,11,,,,,,,
0F 63 /r,"PACKSSWB mm1, mm/m64",1,1,0,0,1,0,63,0,XXX,11,XX,0,0,XX,0,X,99,,,,,,,
0F 6B /r,"PACKSSDW mm1, mm/m64",1,1,0,0,1,0,6B,0,XXX,11,XX,0,0,XX,0,X,107,,,,,,,
0F FD /r,"PADDW mm, mm/m64",1,1,0,0,1,0,FD,0,XXX,11,XX,0,0,XX,0,X,253,,,,,,,
0F FE /r,"PADDD mm, mm/m64",1,1,0,0,1,0,FE,0,XXX,11,XX,0,0,XX,0,X,254,,,,,,,
0F E0 /r,"PAVGB mm1, mm2/m64",1,1,0,0,1,0,E0,0,XXX,11,XX,0,0,XX,0,X,224,,,,,,,
